      year,  location,    lowest,   2nd_low,    median,  2nd_high,   highest,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
  2056,     8,    1.881,    2.310,    2.791,    3.214,    3.385,    2.898,    2.831,    2.570,    3.385,    3.108,    2.744,    2.310,    2.791,    3.079,    2.638,    3.029,    2.497,    2.760,    3.214,    1.881
  2066,     8,    2.518,    2.845,    3.368,    3.978,    4.075,    3.463,    3.490,    3.274,    4.075,    3.807,    3.364,    2.845,    3.322,    3.754,    3.163,    3.810,    3.146,    3.368,    3.978,    2.518
  2076,     8,    3.251,    3.325,    4.101,    4.749,    4.757,    4.105,    4.145,    4.066,    4.749,    4.546,    4.057,    3.325,    3.780,    4.427,    3.734,    4.594,    3.920,    4.101,    4.757,    3.251
  2086,     8,    3.787,    4.032,    4.820,    5.406,    5.446,    4.820,    4.786,    4.860,    5.406,    5.328,    4.724,    3.787,    4.150,    5.071,    4.302,    5.346,    4.773,    4.941,    5.446,    4.032
  1996,     9,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,     9,    0.160,    0.188,    0.258,    0.306,    0.320,    0.260,    0.294,    0.200,    0.306,    0.293,    0.295,    0.236,    0.258,    0.245,    0.217,    0.265,    0.188,    0.320,    0.235,    0.160
  2016,     9,    0.375,    0.482,    0.632,    0.746,    0.776,    0.672,    0.702,    0.519,    0.735,    0.746,    0.746,    0.573,    0.632,    0.607,    0.549,    0.682,    0.482,    0.776,    0.632,    0.375
  2026,     9,    0.654,    0.913,    1.185,    1.330,    1.338,    1.241,    1.233,    0.956,    1.325,    1.338,    1.326,    0.999,    1.135,    1.148,    1.044,    1.233,    0.913,    1.330,    1.185,    0.654
  2036,     9,    0.877,    1.311,    1.661,    1.789,    1.840,    1.707,    1.610,    1.327,    1.840,    1.789,    1.702,    1.321,    1.512,    1.661,    1.480,    1.664,    1.311,    1.697,    1.718,    0.877
  2046,     9,    1.187,    1.720,    2.071,    2.296,    2.460,    2.197,    2.081,    1.745,    2.460,    2.296,    2.060,    1.720,    1.934,    2.277,    1.954,    2.165,    1.751,    2.071,    2.295,    1.187
  2056,     9,    1.645,    2.188,    2.515,    2.984,    3.144,    2.704,    2.647,    2.274,    3.144,    2.872,    2.513,    2.188,    2.408,    2.919,    2.428,    2.785,    2.243,    2.515,    2.984,    1.645
  2066,     9,    2.255,    2.653,    3.091,    3.690,    3.811,    3.245,    3.273,    2.898,    3.811,    3.518,    3.091,    2.653,    2.893,    3.530,    2.918,    3.515,    2.807,    3.037,    3.690,    2.255
  2076,     9,    2.958,    3.076,    3.746,    4.391,    4.454,    3.825,    3.891,    3.595,    4.454,    4.191,    3.746,    3.076,    3.322,    4.122,    3.431,    4.219,    3.503,    3.680,    4.391,    2.958
  2086,     9,    3.470,    3.652,    4.431,    5.002,    5.075,    4.460,    4.493,    4.290,    5.075,    4.906,    4.363,    3.470,    3.652,    4.688,    3.941,    4.865,    4.295,    4.431,    5.002,    3.687
  1996,    10,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    10,    0.183,    0.213,    0.281,    0.324,    0.351,    0.281,    0.311,    0.230,    0.324,    0.310,    0.321,    0.249,    0.295,    0.260,    0.245,    0.307,    0.213,    0.351,    0.273,    0.183
  2016,    10,    0.436,    0.544,    0.721,    0.811,    0.848,    0.728,    0.740,    0.589,    0.781,    0.789,    0.811,    0.607,    0.721,    0.637,    0.626,    0.789,    0.544,    0.848,    0.721,    0.436
  2026,    10,    0.777,    1.026,    1.306,    1.446,    1.451,    1.344,    1.306,    1.087,    1.412,    1.420,    1.446,    1.060,    1.295,    1.206,    1.178,    1.421,    1.026,    1.451,    1.334,    0.777
  2036,    10,    1.058,    1.407,    1.754,    1.918,    1.965,    1.860,    1.720,    1.508,    1.965,    1.918,    1.863,    1.407,    1.724,    1.754,    1.653,    1.898,    1.466,    1.851,    1.899,    1.058
  2046,    10,    1.422,    1.846,    2.270,    2.510,    2.634,    2.393,    2.246,    1.994,    2.634,    2.491,    2.270,    1.846,    2.210,    2.424,    2.150,    2.432,    1.958,    2.280,    2.510,    1.422
  2056,    10,    1.922,    2.380,    2.806,    3.242,    3.370,    2.952,    2.870,    2.605,    3.370,    3.142,    2.771,    2.380,    2.748,    3.140,    2.661,    3.089,    2.511,    2.806,    3.242,    1.922
  2066,    10,    2.573,    2.933,    3.431,    4.002,    4.087,    3.538,    3.552,    3.328,    4.087,    3.851,    3.401,    2.933,    3.296,    3.829,    3.199,    3.877,    3.148,    3.431,    4.002,    2.573
  2076,    10,    3.335,    3.443,    4.168,    4.766,    4.783,    4.190,    4.221,    4.133,    4.783,    4.589,    4.112,    3.443,    3.781,    4.511,    3.788,    4.655,    3.918,    4.168,    4.766,    3.335
  2086,    10,    3.920,    4.143,    4.908,    5.441,    5.459,    4.908,    4.871,    4.933,    5.459,    5.371,    4.795,    3.920,    4.174,    5.165,    4.384,    5.389,    4.784,    5.004,    5.441,    4.143
  1996,    11,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    11,    0.153,    0.217,    0.278,    0.322,    0.326,    0.284,    0.298,    0.236,    0.322,    0.299,    0.312,    0.238,    0.278,    0.257,    0.228,    0.306,    0.217,    0.326,    0.266,    0.153
  2016,    11,    0.363,    0.541,    0.692,    0.793,    0.793,    0.728,    0.709,    0.616,    0.793,    0.777,    0.782,    0.565,    0.681,    0.627,    0.596,    0.778,    0.541,    0.793,    0.692,    0.363
  2026,    11,    0.655,    0.978,    1.259,    1.407,    1.448,    1.336,    1.259,    1.130,    1.448,    1.407,    1.388,    0.978,    1.238,    1.183,    1.130,    1.365,    1.005,    1.370,    1.267,    0.655
  2036,    11,    0.913,    1.292,    1.709,    1.902,    2.015,    1.820,    1.673,    1.545,    2.015,    1.902,    1.786,    1.292,    1.665,    1.709,    1.599,    1.792,    1.409,    1.766,    1.785,    0.913
  2046,    11,    1.264,    1.723,    2.184,    2.440,    2.663,    2.311,    2.191,    1.991,    2.663,    2.440,    2.184,    1.723,    2.145,    2.350,    2.083,    2.268,    1.883,    2.175,    2.353,    1.264
  2056,    11,    1.739,    2.237,    2.675,    3.055,    3.352,    2.806,    2.790,    2.540,    3.352,    3.045,    2.675,    2.237,    2.650,    3.029,    2.577,    2.885,    2.432,    2.654,    3.055,    1.739
  2066,    11,    2.341,    2.745,    3.271,    3.795,    4.022,    3.340,    3.423,    3.204,    4.022,    3.725,    3.271,    2.745,    3.150,    3.681,    3.086,    3.625,    3.069,    3.217,    3.795,    2.341
  2076,    11,    3.035,    3.188,    3.942,    4.551,    4.680,    3.942,    4.050,    3.953,    4.680,    4.437,    3.935,    3.188,    3.584,    4.329,    3.622,    4.376,    3.817,    3.911,    4.551,    3.035
  2086,    11,    3.611,    3.777,    4.657,    5.217,    5.321,    4.622,    4.657,    4.711,    5.321,    5.188,    4.567,    3.611,    3.939,    4.953,    4.145,    5.107,    4.633,    4.715,    5.217,    3.777
