      year,  location,    lowest,   2nd_low,    median,  2nd_high,   highest,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15
  2056,    40,    2.015,    2.419,    2.919,    3.290,    3.531,    3.039,    3.097,    2.712,    3.531,    3.288,    2.885,    2.419,    2.919,    3.179,    2.791,    3.124,    2.637,    2.855,    3.290,    2.015
  2066,    40,    2.646,    2.964,    3.513,    4.033,    4.230,    3.604,    3.788,    3.441,    4.230,    3.974,    3.513,    2.964,    3.454,    3.839,    3.318,    3.897,    3.308,    3.501,    4.033,    2.646
  2076,    40,    3.365,    3.442,    4.248,    4.783,    4.906,    4.254,    4.460,    4.245,    4.906,    4.685,    4.211,    3.442,    3.905,    4.493,    3.885,    4.699,    4.092,    4.248,    4.783,    3.365
  2086,    40,    3.883,    4.126,    5.043,    5.496,    5.562,    4.974,    5.107,    5.043,    5.562,    5.423,    4.896,    3.883,    4.272,    5.113,    4.441,    5.496,    4.951,    5.075,    5.456,    4.126
  1996,    41,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    41,    0.200,    0.231,    0.297,    0.342,    0.372,    0.294,    0.338,    0.237,    0.342,    0.327,    0.328,    0.255,    0.325,    0.276,    0.266,    0.326,    0.231,    0.372,    0.297,    0.200
  2016,    41,    0.474,    0.593,    0.770,    0.836,    0.896,    0.769,    0.800,    0.606,    0.821,    0.836,    0.831,    0.622,    0.784,    0.672,    0.683,    0.835,    0.593,    0.896,    0.770,    0.474
  2026,    41,    0.838,    1.085,    1.406,    1.507,    1.531,    1.420,    1.410,    1.128,    1.482,    1.507,    1.491,    1.085,    1.393,    1.266,    1.274,    1.490,    1.112,    1.531,    1.406,    0.838
  2036,    41,    1.127,    1.447,    1.851,    2.037,    2.055,    1.965,    1.851,    1.569,    2.055,    2.037,    1.936,    1.447,    1.834,    1.823,    1.766,    1.969,    1.567,    1.941,    1.970,    1.127
  2046,    41,    1.500,    1.906,    2.379,    2.634,    2.748,    2.505,    2.409,    2.075,    2.748,    2.634,    2.374,    1.906,    2.339,    2.500,    2.259,    2.494,    2.067,    2.379,    2.578,    1.500
  2056,    41,    2.006,    2.461,    2.917,    3.310,    3.505,    3.062,    3.056,    2.695,    3.505,    3.300,    2.892,    2.461,    2.890,    3.219,    2.763,    3.143,    2.631,    2.917,    3.310,    2.006
  2066,    41,    2.653,    3.020,    3.560,    4.069,    4.227,    3.641,    3.752,    3.429,    4.227,    4.003,    3.529,    3.020,    3.440,    3.904,    3.297,    3.935,    3.296,    3.560,    4.069,    2.653
  2076,    41,    3.404,    3.523,    4.294,    4.837,    4.918,    4.294,    4.426,    4.239,    4.918,    4.725,    4.244,    3.523,    3.915,    4.582,    3.886,    4.731,    4.085,    4.304,    4.837,    3.404
  2086,    41,    3.987,    4.198,    5.044,    5.521,    5.581,    5.015,    5.076,    5.044,    5.581,    5.483,    4.938,    3.987,    4.298,    5.223,    4.480,    5.499,    4.961,    5.131,    5.521,    4.198
  1996,    42,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    42,    0.200,    0.223,    0.295,    0.342,    0.362,    0.295,    0.342,    0.230,    0.339,    0.326,    0.318,    0.250,    0.320,    0.274,    0.267,    0.315,    0.223,    0.362,    0.288,    0.200
  2016,    42,    0.471,    0.576,    0.771,    0.833,    0.869,    0.772,    0.808,    0.588,    0.812,    0.833,    0.808,    0.613,    0.771,    0.665,    0.681,    0.807,    0.576,    0.869,    0.748,    0.471
  2026,    42,    0.829,    1.067,    1.367,    1.484,    1.501,    1.419,    1.422,    1.096,    1.463,    1.501,    1.454,    1.067,    1.366,    1.251,    1.266,    1.439,    1.084,    1.484,    1.367,    0.829
  2036,    42,    1.110,    1.419,    1.860,    2.027,    2.027,    1.952,    1.860,    1.527,    2.027,    2.027,    1.893,    1.419,    1.792,    1.795,    1.750,    1.900,    1.530,    1.878,    1.919,    1.110
  2046,    42,    1.473,    1.862,    2.323,    2.617,    2.716,    2.476,    2.407,    2.019,    2.716,    2.617,    2.323,    1.862,    2.280,    2.456,    2.233,    2.408,    2.021,    2.298,    2.513,    1.473
  2056,    42,    1.968,    2.401,    2.827,    3.267,    3.466,    3.018,    3.039,    2.614,    3.466,    3.267,    2.827,    2.401,    2.815,    3.151,    2.717,    3.042,    2.572,    2.813,    3.225,    1.968
  2066,    42,    2.597,    2.944,    3.446,    3.958,    4.177,    3.580,    3.717,    3.313,    4.177,    3.940,    3.446,    2.944,    3.347,    3.811,    3.226,    3.819,    3.228,    3.430,    3.958,    2.597
  2076,    42,    3.322,    3.428,    4.142,    4.696,    4.849,    4.212,    4.377,    4.084,    4.849,    4.619,    4.139,    3.428,    3.801,    4.456,    3.786,    4.597,    3.996,    4.142,    4.696,    3.322
  2086,    42,    3.867,    4.084,    4.904,    5.353,    5.489,    4.904,    5.016,    4.853,    5.489,    5.327,    4.813,    3.867,    4.160,    5.062,    4.358,    5.345,    4.845,    4.926,    5.353,    4.084
  1996,    43,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    43,    0.192,    0.229,    0.295,    0.336,    0.368,    0.289,    0.325,    0.240,    0.336,    0.320,    0.333,    0.256,    0.316,    0.271,    0.260,    0.330,    0.229,    0.368,    0.295,    0.192
  2016,    43,    0.459,    0.585,    0.763,    0.840,    0.888,    0.750,    0.772,    0.614,    0.814,    0.815,    0.837,    0.619,    0.765,    0.660,    0.668,    0.840,    0.585,    0.888,    0.763,    0.459
  2026,    43,    0.817,    1.077,    1.370,    1.500,    1.519,    1.390,    1.364,    1.137,    1.473,    1.468,    1.495,    1.077,    1.370,    1.245,    1.248,    1.500,    1.091,    1.519,    1.397,    0.817
  2036,    43,    1.109,    1.429,    1.819,    1.985,    2.047,    1.926,    1.797,    1.574,    2.047,    1.985,    1.928,    1.429,    1.819,    1.800,    1.735,    1.985,    1.541,    1.930,    1.959,    1.109
  2046,    43,    1.486,    1.884,    2.358,    2.573,    2.731,    2.470,    2.349,    2.075,    2.731,    2.573,    2.358,    1.884,    2.333,    2.479,    2.231,    2.519,    2.038,    2.373,    2.570,    1.486
  2056,    43,    1.993,    2.436,    2.917,    3.310,    3.478,    3.028,    2.994,    2.700,    3.478,    3.237,    2.874,    2.436,    2.891,    3.209,    2.746,    3.176,    2.607,    2.917,    3.310,    1.993
  2066,    43,    2.650,    2.999,    3.573,    4.085,    4.198,    3.613,    3.689,    3.447,    4.198,    3.956,    3.517,    2.999,    3.454,    3.910,    3.294,    3.972,    3.271,    3.573,    4.085,    2.650
  2076,    43,    3.414,    3.515,    4.282,    4.876,    4.901,    4.278,    4.365,    4.282,    4.901,    4.708,    4.238,    3.515,    3.945,    4.610,    3.895,    4.775,    4.068,    4.340,    4.876,    3.414
  2086,    43,    4.002,    4.231,    5.019,    5.582,    5.584,    5.019,    5.016,    5.114,    5.584,    5.503,    4.937,    4.002,    4.350,    5.278,    4.499,    5.555,    4.958,    5.202,    5.582,    4.231
  1996,    44,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    44,    0.182,    0.223,    0.287,    0.329,    0.355,    0.283,    0.313,    0.232,    0.328,    0.311,    0.329,    0.253,    0.304,    0.260,    0.251,    0.325,    0.223,    0.355,    0.287,    0.182
  2016,    44,    0.438,    0.568,    0.740,    0.825,    0.857,    0.733,    0.746,    0.599,    0.799,    0.793,    0.825,    0.606,    0.740,    0.639,    0.647,    0.825,    0.568,    0.857,    0.745,    0.438
  2026,    44,    0.784,    1.049,    1.331,    1.469,    1.470,    1.360,    1.320,    1.109,    1.449,    1.432,    1.469,    1.049,    1.331,    1.209,    1.211,    1.470,    1.058,    1.468,    1.368,    0.784
  2036,    44,    1.073,    1.385,    1.777,    1.944,    2.021,    1.883,    1.747,    1.538,    2.021,    1.941,    1.887,    1.385,    1.777,    1.754,    1.690,    1.944,    1.496,    1.868,    1.926,    1.073
  2046,    44,    1.446,    1.829,    2.299,    2.535,    2.696,    2.417,    2.286,    2.025,    2.696,    2.519,    2.306,    1.829,    2.290,    2.421,    2.180,    2.473,    1.986,    2.299,    2.535,    1.446
  2056,    44,    1.948,    2.371,    2.844,    3.274,    3.431,    2.964,    2.919,    2.633,    3.431,    3.176,    2.814,    2.371,    2.844,    3.137,    2.688,    3.130,    2.553,    2.826,    3.274,    1.948
  2066,    44,    2.597,    2.923,    3.464,    4.047,    4.140,    3.541,    3.600,    3.364,    4.140,    3.892,    3.448,    2.923,    3.399,    3.827,    3.224,    3.921,    3.211,    3.464,    4.047,    2.597
  2076,    44,    3.349,    3.427,    4.199,    4.833,    4.835,    4.199,    4.267,    4.184,    4.833,    4.645,    4.156,    3.427,    3.879,    4.519,    3.812,    4.716,    4.002,    4.222,    4.835,    3.349
  2086,    44,    3.907,    4.154,    4.933,    5.508,    5.536,    4.933,    4.915,    5.003,    5.508,    5.442,    4.840,    3.907,    4.272,    5.182,    4.402,    5.483,    4.881,    5.081,    5.536,    4.154
  1996,    45,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    45,    0.170,    0.213,    0.275,    0.320,    0.343,    0.275,    0.296,    0.216,    0.318,    0.295,    0.320,    0.250,    0.288,    0.252,    0.238,    0.307,    0.213,    0.343,    0.275,    0.170
  2016,    45,    0.407,    0.542,    0.707,    0.801,    0.827,    0.709,    0.707,    0.563,    0.777,    0.759,    0.801,    0.599,    0.704,    0.620,    0.611,    0.781,    0.542,    0.827,    0.718,    0.407
  2026,    45,    0.731,    1.012,    1.276,    1.419,    1.421,    1.313,    1.250,    1.051,    1.410,    1.377,    1.421,    1.034,    1.276,    1.176,    1.153,    1.394,    1.012,    1.419,    1.326,    0.731
  2036,    45,    1.006,    1.360,    1.714,    1.879,    1.969,    1.814,    1.652,    1.471,    1.969,    1.876,    1.822,    1.360,    1.714,    1.711,    1.620,    1.852,    1.441,    1.812,    1.879,    1.006
  2046,    45,    1.370,    1.790,    2.222,    2.484,    2.627,    2.334,    2.164,    1.945,    2.627,    2.440,    2.222,    1.790,    2.215,    2.366,    2.106,    2.375,    1.926,    2.235,    2.484,    1.370
  2056,    45,    1.863,    2.312,    2.754,    3.214,    3.346,    2.874,    2.775,    2.536,    3.346,    3.079,    2.718,    2.312,    2.754,    3.069,    2.605,    3.027,    2.484,    2.749,    3.214,    1.863
  2066,    45,    2.503,    2.849,    3.365,    3.977,    4.044,    3.445,    3.438,    3.243,    4.044,    3.787,    3.340,    2.849,    3.294,    3.752,    3.130,    3.811,    3.122,    3.365,    3.977,    2.503
  2076,    45,    3.247,    3.340,    4.089,    4.728,    4.753,    4.089,    4.093,    4.041,    4.728,    4.540,    4.037,    3.340,    3.766,    4.433,    3.709,    4.592,    3.892,    4.103,    4.753,    3.247
  2086,    45,    3.810,    4.043,    4.803,    5.395,    5.442,    4.803,    4.731,    4.843,    5.395,    5.342,    4.704,    3.810,    4.151,    5.087,    4.294,    5.339,    4.754,    4.951,    5.442,    4.043
  1996,    46,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    46,    0.180,    0.222,    0.285,    0.330,    0.354,    0.281,    0.309,    0.229,    0.327,    0.309,    0.330,    0.252,    0.302,    0.259,    0.248,    0.324,    0.222,    0.354,    0.285,    0.180
  2016,    46,    0.430,    0.565,    0.732,    0.825,    0.852,    0.728,    0.737,    0.591,    0.797,    0.789,    0.825,    0.601,    0.732,    0.635,    0.638,    0.821,    0.565,    0.852,    0.740,    0.430
  2026,    46,    0.769,    1.038,    1.319,    1.459,    1.464,    1.351,    1.304,    1.097,    1.446,    1.424,    1.464,    1.038,    1.319,    1.201,    1.196,    1.458,    1.050,    1.459,    1.360,    0.769
  2036,    46,    1.054,    1.368,    1.761,    1.931,    2.017,    1.871,    1.727,    1.525,    2.017,    1.931,    1.877,    1.368,    1.761,    1.744,    1.672,    1.924,    1.484,    1.855,    1.916,    1.054
  2046,    46,    1.427,    1.809,    2.279,    2.524,    2.690,    2.402,    2.260,    2.007,    2.690,    2.506,    2.289,    1.809,    2.270,    2.408,    2.161,    2.447,    1.973,    2.279,    2.524,    1.427
  2056,    46,    1.926,    2.348,    2.818,    3.261,    3.421,    2.944,    2.887,    2.606,    3.421,    3.159,    2.793,    2.348,    2.818,    3.119,    2.666,    3.101,    2.539,    2.797,    3.261,    1.926
  2066,    46,    2.571,    2.896,    3.425,    4.034,    4.126,    3.518,    3.560,    3.327,    4.126,    3.873,    3.424,    2.896,    3.365,    3.806,    3.196,    3.890,    3.196,    3.425,    4.034,    2.571
  2076,    46,    3.318,    3.394,    4.170,    4.813,    4.820,    4.170,    4.224,    4.137,    4.813,    4.624,    4.129,    3.394,    3.838,    4.495,    3.778,    4.681,    3.982,    4.176,    4.820,    3.318
  2086,    46,    3.869,    4.116,    4.898,    5.483,    5.519,    4.898,    4.871,    4.949,    5.483,    5.420,    4.808,    3.869,    4.223,    5.156,    4.362,    5.443,    4.855,    5.030,    5.519,    4.116
  1996,    47,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    47,    0.168,    0.222,    0.283,    0.327,    0.352,    0.283,    0.305,    0.232,    0.327,    0.304,    0.325,    0.253,    0.298,    0.256,    0.243,    0.314,    0.222,    0.352,    0.278,    0.168
  2016,    47,    0.399,    0.557,    0.723,    0.808,    0.846,    0.728,    0.723,    0.599,    0.798,    0.782,    0.808,    0.594,    0.723,    0.623,    0.625,    0.795,    0.557,    0.846,    0.721,    0.399
  2026,    47,    0.714,    1.022,    1.304,    1.448,    1.448,    1.344,    1.280,    1.102,    1.448,    1.410,    1.428,    1.022,    1.304,    1.179,    1.173,    1.402,    1.030,    1.448,    1.324,    0.714
  2036,    47,    0.982,    1.342,    1.737,    1.908,    2.013,    1.845,    1.692,    1.517,    2.013,    1.908,    1.820,    1.342,    1.737,    1.712,    1.639,    1.841,    1.444,    1.842,    1.864,    0.982
  2046,    47,    1.342,    1.780,    2.228,    2.456,    2.669,    2.356,    2.207,    1.978,    2.669,    2.456,    2.216,    1.780,    2.228,    2.366,    2.116,    2.336,    1.917,    2.252,    2.451,    1.342
  2056,    47,    1.830,    2.305,    2.746,    3.168,    3.376,    2.875,    2.812,    2.552,    3.376,    3.079,    2.707,    2.305,    2.746,    3.061,    2.612,    2.970,    2.468,    2.745,    3.168,    1.830
  2066,    47,    2.456,    2.829,    3.334,    3.922,    4.057,    3.429,    3.463,    3.242,    4.057,    3.769,    3.321,    2.829,    3.260,    3.727,    3.134,    3.738,    3.109,    3.334,    3.922,    2.456
  2076,    47,    3.176,    3.293,    4.051,    4.691,    4.722,    4.053,    4.115,    4.014,    4.722,    4.494,    4.007,    3.293,    3.705,    4.385,    3.695,    4.511,    3.873,    4.051,    4.691,    3.176
  2086,    47,    3.739,    3.943,    4.752,    5.368,    5.372,    4.752,    4.749,    4.784,    5.372,    5.260,    4.666,    3.739,    4.064,    5.016,    4.247,    5.254,    4.713,    4.876,    5.368,    3.943
  1996,    48,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
  2006,    48,    0.185,    0.218,    0.285,    0.329,    0.358,    0.285,    0.318,    0.233,    0.329,    0.312,    0.327,    0.255,    0.304,    0.261,    0.251,    0.320,    0.218,    0.358,    0.283,    0.185
  2016,    48,    0.444,    0.558,    0.740,    0.823,    0.865,    0.739,    0.756,    0.597,    0.797,    0.795,    0.823,    0.619,    0.740,    0.641,    0.643,    0.818,    0.558,    0.865,    0.743,    0.444
  2026,    48,    0.794,    1.048,    1.334,    1.467,    1.479,    1.367,    1.334,    1.104,    1.442,    1.432,    1.467,    1.077,    1.331,    1.214,    1.206,    1.467,    1.048,    1.479,    1.369,    0.794
  2036,    48,    1.083,    1.424,    1.772,    1.950,    2.008,    1.893,    1.757,    1.534,    2.008,    1.940,    1.892,    1.424,    1.772,    1.765,    1.686,    1.950,    1.494,    1.886,    1.935,    1.083
  2046,    48,    1.455,    1.869,    2.310,    2.547,    2.686,    2.435,    2.296,    2.031,    2.686,    2.524,    2.310,    1.869,    2.276,    2.441,    2.184,    2.486,    1.990,    2.325,    2.547,    1.455
  2056,    48,    1.959,    2.411,    2.865,    3.285,    3.429,    2.997,    2.932,    2.654,    3.429,    3.187,    2.821,    2.411,    2.825,    3.168,    2.697,    3.144,    2.554,    2.865,    3.285,    1.959
  2066,    48,    2.614,    2.971,    3.510,    4.056,    4.150,    3.584,    3.621,    3.394,    4.150,    3.905,    3.460,    2.971,    3.383,    3.868,    3.240,    3.938,    3.207,    3.510,    4.056,    2.614
  2076,    48,    3.380,    3.491,    4.244,    4.840,    4.853,    4.244,    4.293,    4.221,    4.853,    4.653,    4.179,    3.491,    3.875,    4.565,    3.836,    4.732,    3.995,    4.267,    4.840,    3.380
  2086,    48,    3.980,    4.199,    4.977,    5.537,    5.539,    4.977,    4.942,    5.045,    5.537,    5.444,    4.873,    3.980,    4.279,    5.234,    4.438,    5.493,    4.878,    5.124,    5.539,    4.199
